PRED 150, POS 50, HIDDEN 256, LR 0.0005, DECAY 0: BEST VALID F1: 88.567% AT EPOCH 9, TRAINED FOR 25 EPOCHS
PRED 150, POS 50, HIDDEN 256, LR 0.0005, DECAY 1e-05: BEST VALID F1: 88.056% AT EPOCH 9, TRAINED FOR 26 EPOCHS
PRED 150, POS 50, HIDDEN 256, LR 0.001, DECAY 0: BEST VALID F1: 88.417% AT EPOCH 20, TRAINED FOR 28 EPOCHS
PRED 150, POS 50, HIDDEN 256, LR 0.001, DECAY 1e-05: BEST VALID F1: 87.790% AT EPOCH 20, TRAINED FOR 23 EPOCHS
PRED 150, POS 50, HIDDEN 512, LR 0.0005, DECAY 0: BEST VALID F1: 88.395% AT EPOCH 11, TRAINED FOR 25 EPOCHS
PRED 150, POS 50, HIDDEN 512, LR 0.0005, DECAY 1e-05: BEST VALID F1: 88.153% AT EPOCH 14, TRAINED FOR 27 EPOCHS
PRED 150, POS 50, HIDDEN 512, LR 0.001, DECAY 0: BEST VALID F1: 88.402% AT EPOCH 10, TRAINED FOR 25 EPOCHS
PRED 150, POS 50, HIDDEN 512, LR 0.001, DECAY 1e-05: BEST VALID F1: 88.091% AT EPOCH 26, TRAINED FOR 27 EPOCHS
PRED 150, POS 100, HIDDEN 256, LR 0.0005, DECAY 0: BEST VALID F1: 88.705% AT EPOCH 8, TRAINED FOR 25 EPOCHS
PRED 150, POS 100, HIDDEN 256, LR 0.0005, DECAY 1e-05: BEST VALID F1: 88.601% AT EPOCH 16, TRAINED FOR 27 EPOCHS
PRED 150, POS 100, HIDDEN 256, LR 0.001, DECAY 0: BEST VALID F1: 88.715% AT EPOCH 12, TRAINED FOR 23 EPOCHS
PRED 150, POS 100, HIDDEN 256, LR 0.001, DECAY 1e-05: BEST VALID F1: 87.881% AT EPOCH 20, TRAINED FOR 23 EPOCHS
PRED 150, POS 100, HIDDEN 512, LR 0.0005, DECAY 0: BEST VALID F1: 88.382% AT EPOCH 11, TRAINED FOR 21 EPOCHS
PRED 150, POS 100, HIDDEN 512, LR 0.0005, DECAY 1e-05: BEST VALID F1: 88.049% AT EPOCH 23, TRAINED FOR 24 EPOCHS
PRED 150, POS 100, HIDDEN 512, LR 0.001, DECAY 0: BEST VALID F1: 88.404% AT EPOCH 8, TRAINED FOR 29 EPOCHS
PRED 150, POS 100, HIDDEN 512, LR 0.001, DECAY 1e-05: BEST VALID F1: 87.717% AT EPOCH 27, TRAINED FOR 28 EPOCHS
PRED 300, POS 50, HIDDEN 256, LR 0.0005, DECAY 0: BEST VALID F1: 88.862% AT EPOCH 13, TRAINED FOR 27 EPOCHS
PRED 300, POS 50, HIDDEN 256, LR 0.0005, DECAY 1e-05: BEST VALID F1: 88.501% AT EPOCH 19, TRAINED FOR 30 EPOCHS
PRED 300, POS 50, HIDDEN 256, LR 0.001, DECAY 0: BEST VALID F1: 88.864% AT EPOCH 10, TRAINED FOR 24 EPOCHS
PRED 300, POS 50, HIDDEN 256, LR 0.001, DECAY 1e-05: BEST VALID F1: 87.955% AT EPOCH 25, TRAINED FOR 26 EPOCHS
PRED 300, POS 50, HIDDEN 512, LR 0.0005, DECAY 0: BEST VALID F1: 88.806% AT EPOCH 7, TRAINED FOR 24 EPOCHS
PRED 300, POS 50, HIDDEN 512, LR 0.0005, DECAY 1e-05: BEST VALID F1: 88.230% AT EPOCH 18, TRAINED FOR 28 EPOCHS
PRED 300, POS 50, HIDDEN 512, LR 0.001, DECAY 0: BEST VALID F1: 88.508% AT EPOCH 10, TRAINED FOR 30 EPOCHS
PRED 300, POS 50, HIDDEN 512, LR 0.001, DECAY 1e-05: BEST VALID F1: 87.887% AT EPOCH 21, TRAINED FOR 29 EPOCHS
PRED 300, POS 100, HIDDEN 256, LR 0.0005, DECAY 0: BEST VALID F1: 88.736% AT EPOCH 13, TRAINED FOR 27 EPOCHS
PRED 300, POS 100, HIDDEN 256, LR 0.0005, DECAY 1e-05: BEST VALID F1: 88.475% AT EPOCH 16, TRAINED FOR 25 EPOCHS
PRED 300, POS 100, HIDDEN 256, LR 0.001, DECAY 0: BEST VALID F1: 88.472% AT EPOCH 18, TRAINED FOR 21 EPOCHS
PRED 300, POS 100, HIDDEN 256, LR 0.001, DECAY 1e-05: BEST VALID F1: 87.575% AT EPOCH 16, TRAINED FOR 26 EPOCHS
PRED 300, POS 100, HIDDEN 512, LR 0.0005, DECAY 0: BEST VALID F1: 88.486% AT EPOCH 10, TRAINED FOR 23 EPOCHS
PRED 300, POS 100, HIDDEN 512, LR 0.0005, DECAY 1e-05: BEST VALID F1: 88.389% AT EPOCH 20, TRAINED FOR 27 EPOCHS
PRED 300, POS 100, HIDDEN 512, LR 0.001, DECAY 0: BEST VALID F1: 88.340% AT EPOCH 7, TRAINED FOR 26 EPOCHS
PRED 300, POS 100, HIDDEN 512, LR 0.001, DECAY 1e-05: BEST VALID F1: 87.851% AT EPOCH 17, TRAINED FOR 32 EPOCHS
